Shortlist dim,Reranking dim,MFLOPS,MAP@10
8,8,10.25,56.74
8,16,10.25,63.35
8,32,10.26,64.12
8,64,10.26,64.46
8,128,10.27,64.68
8,256,10.30,64.77
8,512,10.35,64.86
8,1024,10.45,64.88
8,2048,10.66,64.9
16,16,20.50,62.94
16,32,20.51,64.27
16,64,20.51,64.74
16,128,20.52,65
16,256,20.55,65.1
16,512,20.60,65.21
16,1024,20.70,65.23
16,2048,20.91,65.27
32,32,41.00,64.21
32,64,41.01,64.69
32,128,41.02,64.97
32,256,41.05,65.07
32,512,41.10,65.17
32,1024,41.20,65.2
32,2048,41.41,65.24
64,64,82.01,64.69
64,128,82.02,64.94
64,256,82.05,65.04
64,512,82.10,65.14
64,1024,82.20,65.16
64,2048,82.40,65.2
128,128,164.01,64.94
128,256,164.04,65.04
128,512,164.09,65.14
128,1024,164.19,65.16
128,2048,164.40,65.2
256,256,328.03,65.04
256,512,328.08,65.14
256,1024,328.18,65.16
256,2048,328.39,65.2
512,512,656.06,65.14
512,1024,656.16,65.16
512,2048,656.37,65.2
1024,1024,1312.12,65.16
1024,2048,1312.32,65.2
2048,2048,2624.24,65.2
