Ds,Dr,MFLOPS,MAP@10,,,,
8,8,33.62,5.3232,,,,
8,16,33.62,8.7,,,,
8,32,33.62,10.66,,,,
8,64,33.63,11.91,,,,0.053232
8,128,33.64,12.71,,,,0.086365
8,256,33.67,13.24,,,,0.113562
8,512,33.72,13.59,,,,0.133767
8,1024,33.82,13.85,,,,0.14765
8,2048,34.03,14.11,,,,0.156585
16,16,67.24,8.6365,,,,0.162905
16,32,67.24,11.24,,,,0.167648
16,64,67.24,12.78,,,,0.172018
16,128,67.26,13.7,,,,
16,256,67.28,14.27,,,,
16,512,67.33,14.66,,,,
16,1024,67.44,14.94,,,,
16,2048,67.64,15.21,,,,
32,32,134.47,11.3562,,,,
32,64,134.48,13.35,,,,
32,128,134.49,14.61,,,,
32,256,134.52,15.37,,,,
32,512,134.57,15.88,,,,
32,1024,134.67,16.25,,,,
32,2048,134.87,16.59,,,,
64,64,268.94,13.3767,,,,
64,128,268.95,14.76,,,,
64,256,268.98,15.64,,,,
64,512,269.03,16.25,,,,
64,1024,269.13,16.69,,,,
64,2048,269.34,17.1,,,,
128,128,537.88,14.765,,,,
128,256,537.91,15.66,,,,
128,512,537.96,16.29,,,,
128,1024,538.06,16.76,,,,
128,2048,538.27,17.19,,,,
256,256,1075.76,15.6585,,,,
256,512,1075.81,16.29,,,,
256,1024,1075.92,16.76,,,,
256,2048,1076.12,17.2,,,,
512,512,2151.53,16.2905,,,,
512,1024,2151.63,16.76,,,,
512,2048,2151.83,17.2,,,,
1024,1024,4303.05,16.7648,,,,
1024,2048,4303.26,17.2,,,,
2048,2048,8606.11,17.2018,,,,
