MAP,FLOPS
0.464556,10250936
0.527459,10252536
0.535299,10255736
0.53813,10262136
0.539519,10274936
0.54011,10300536
0.540256,10351736
0.540368,10454136
0.540235,10658936
0.532699,20501872
0.547763,20505072
0.554692,20511472
0.557365,20524272
0.55843,20549872
0.558967,20601072
0.559705,20703472
0.559836,20908272
0.547244,41003744
0.554918,41010144
0.558532,41022944
0.55999,41048544
0.560781,41099744
0.56129,41202144
0.561824,41406944
0.554836,82007488
0.558256,82020288
0.55972,82045888
0.560372,82097088
0.56107,82199488
0.561565,82404288
0.558218,164014976
0.559677,164040576
0.560258,164091776
0.560968,164194176
0.561287,164398976
0.559651,328029952
0.560937,328081152
0.560957,328183552
0.56129,328388352
0.560243,656059904
0.560937,656162304
0.561281,656367104
0.560945,1312119808
0.561286,1312324608
0.56125,2624239616
